zaidimo_pradzios_data, ejimo_nr, disko_1_vieta, disko_2_vieta, disko_3_vieta, disko_4_vieta
2022-09-11 19:22,1,3,1,1,1
2022-09-11 19:22,2,3,2,1,1
2022-09-11 19:22,3,2,2,1,1
2022-09-11 19:22,4,2,2,3,1
2022-09-11 19:22,5,3,2,3,1
2022-09-11 19:22,6,3,1,3,1
2022-09-11 19:22,7,2,1,3,1
2022-09-11 19:22,8,2,3,3,1
2022-09-11 19:22,9,3,3,3,1
2022-09-11 19:22,10,3,3,3,2
2022-09-11 19:22,11,1,3,3,2
2022-09-11 19:23,12,1,2,3,2
2022-09-11 19:23,13,3,2,3,2
2022-09-11 19:23,14,3,1,3,2
2022-09-11 19:23,15,1,1,3,2
2022-09-11 19:23,16,1,1,3,2
2022-09-11 19:23,17,2,1,3,2
2022-09-11 19:23,18,2,3,3,2
2022-09-11 19:23,19,1,3,3,2
2022-09-11 19:23,20,1,2,3,2
2022-09-11 19:23,21,2,2,3,2
2022-09-11 19:23,22,2,2,1,2
2022-09-11 19:24,23,3,2,1,2
2022-09-11 19:24,24,3,1,1,2
2022-09-11 19:24,25,1,1,1,2
2022-09-11 19:24,26,1,1,1,3
2022-09-11 19:24,27,2,1,1,3
2022-09-11 19:24,28,2,3,1,3
2022-09-11 19:24,29,3,3,1,3
2022-09-11 19:24,30,3,3,2,3
2022-09-11 19:24,31,2,3,2,3
2022-09-11 19:24,32,2,1,2,3
2022-09-11 19:24,33,1,1,2,3
2022-09-11 19:24,34,1,1,3,3
2022-09-11 19:24,35,2,1,3,3
2022-09-11 19:24,36,2,3,3,3
2022-09-11 19:24,37,3,3,3,3
2022-09-11 22:00,1,2,1,1,1
2022-09-11 22:00,2,2,3,1,1
2022-09-12 01:15,1,2,1,1,1
2022-09-12 01:15,2,2,3,1,1
2022-09-12 01:15,3,3,3,1,1
2022-09-12 01:15,4,3,3,2,1
2022-09-12 01:15,5,2,3,2,1
2022-09-12 01:15,6,1,3,2,1
2022-09-12 01:16,7,1,2,2,1
2022-09-12 01:16,8,2,2,2,1
2022-09-12 01:16,9,2,2,2,3
2022-09-12 01:16,10,3,2,2,3
2022-09-12 01:16,11,3,1,2,3
2022-09-12 01:16,12,1,1,2,3
2022-09-12 01:16,13,1,1,3,3
2022-09-12 01:16,14,2,1,3,3
2022-09-12 01:16,15,2,3,3,3
2022-09-12 01:16,16,3,3,3,3
2022-09-12 01:53,1,3,1,1,1
2022-09-12 01:53,2,3,2,1,1
2022-09-12 01:53,3,2,2,1,1
2022-09-12 01:53,4,2,2,3,1
2022-09-12 01:54,5,1,2,3,1
2022-09-12 01:54,6,1,3,3,1
2022-09-12 01:54,7,3,3,3,1
2022-09-12 01:54,8,3,3,3,2
2022-09-12 01:54,9,2,3,3,2
2022-09-12 01:54,10,2,1,3,2
2022-09-12 01:54,11,1,1,3,2
2022-09-12 01:55,12,1,1,2,2
2022-09-12 01:55,13,2,1,2,2
2022-09-12 01:55,14,2,3,2,2
2022-09-12 01:55,15,3,3,2,2
2022-09-12 01:55,16,3,3,1,2
2022-09-12 01:55,17,2,3,1,2
2022-09-12 01:55,18,2,1,1,2
2022-09-12 01:55,19,1,1,1,2
2022-09-12 01:55,20,1,1,1,3
2022-09-12 01:55,21,2,1,1,3
2022-09-12 01:55,22,2,3,1,3
2022-09-12 01:55,23,3,3,1,3
2022-09-12 01:55,24,3,3,2,3
2022-09-12 01:56,25,2,3,2,3
2022-09-12 01:56,26,2,1,2,3
2022-09-12 01:56,27,1,1,2,3
2022-09-12 01:56,28,1,1,3,3
2022-09-12 01:56,29,2,1,3,3
2022-09-12 01:56,30,2,3,3,3
2022-09-12 01:56,31,3,3,3,3
2022-09-12 02:05,1,2,1,1,1
2022-09-12 02:05,2,2,3,1,1
2022-09-12 02:05,3,3,3,1,1
2022-09-12 02:06,4,3,3,2,1
2022-09-12 02:06,5,1,3,2,1
2022-09-12 02:06,6,1,2,2,1
2022-09-12 02:06,7,2,2,2,1
2022-09-12 02:06,8,2,2,2,3
2022-09-12 02:06,9,3,2,2,3
2022-09-12 02:06,10,3,1,2,3
2022-09-12 02:06,11,1,1,2,3
2022-09-12 02:06,12,1,1,3,3
2022-09-12 02:06,13,2,1,3,3
2022-09-12 02:06,14,2,3,3,3
2022-09-12 02:06,15,3,3,3,3
2022-09-12 04:00,1,3,1,1,1
2022-09-12 04:00,2,3,2,1,1
2022-09-12 04:00,3,1,2,1,1
2022-09-12 04:00,4,1,3,1,1
2022-09-12 04:00,5,2,3,1,1
2022-09-12 04:00,6,3,3,1,1
2022-09-12 04:00,7,3,3,2,1
2022-09-12 04:00,8,1,3,2,1
2022-09-12 04:00,9,1,2,2,1
2022-09-12 04:00,10,2,2,2,1
2022-09-12 04:00,11,2,2,2,3
2022-09-12 04:00,12,3,2,2,3
2022-09-12 04:00,13,3,1,2,3
2022-09-12 04:01,14,1,1,2,3
2022-09-12 04:01,15,1,1,3,3
2022-09-12 04:01,16,2,1,3,3
2022-09-12 04:01,17,2,3,3,3
2022-09-12 04:01,18,3,3,3,3
